ID,Age,Experience,Income,ZIP.Code,Family,CCAvg,Education,Mortgage,Personal.Loan,Securities.Account,CD.Account,Online,CreditCard
73,44,20,130,92007,1,5.0,1,0,0,0,0,0,1
12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0
13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0
15,67,41,112,91741,1,2.0,1,0,0,1,0,0,0
68,53,23,45,95123,4,2.0,3,132,0,1,0,0,0
81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1
92,35,10,29,94105,4,1.1,3,0,0,0,0,1,0
63,42,18,22,90089,1,1.0,1,0,0,0,0,0,0
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1
40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0
